Ticker,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly,EPS Estimate,Price
CTL,"Feb. 14, 2018",AC,8.53%,9.64%,0.3,15.98
CC,"Feb. 14, 2018",AC,9.38%,10.50%,0.97,46.459999
CSCO,"Feb. 14, 2018",AC,6.20%,6.25%,0.59,39.529999
GRPN,"Feb. 14, 2018",BO,18.69%,18.13%,0.09,5.02
MRO,"Feb. 14, 2018",AC,7.61%,7.16%,0.01,15.51
NTAP,"Feb. 14, 2018",AC,7.97%,8.42%,0.91,56.169998
SPWR,"Feb. 14, 2018",AC,16.86%,15.62%,0.12,6.85
CBS,"Feb. 15, 2018",AC,6.25%,8.15%,1.15,52.759998
SHOP,"Feb. 15, 2018",BO,10.11%,9.87%,0.05,119.550003
KO,"Feb. 16, 2018",BO,3.55%,4.17%,0.39,43.130001
DE,"Feb. 16, 2018",BO,6.92%,6.81%,1.19,154.929993
,,,,,,
