Ticker,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly,EPS Estimate
HAL,"Jan. 22, 2018",BO,3.61%,3.66%,0.46
AMTD,"Jan. 23, 2018",BO,3.69%,3.68%,0.5
JNJ,"Jan. 23, 2018",BO,2.51%,2.29%,1.72
KMB,"Jan. 23, 2018",BO,3.32%,3.68%,1.55
PG,"Jan. 23, 2018",BO,2.52%,2.51%,1.14
COF,"Jan. 23, 2018",AC,3.84%,4.04%,1.88
CREE,"Jan. 23, 2018",AC,9.51%,10.44%,0.01
ABT,"Jan. 24, 2018",BO,2.93%,3.07%,0.73
CMCSA,"Jan. 24, 2018",BO,3.80%,3.81%,0.47
GD,"Jan. 24, 2018",BO,2.96%,3.12%,2.37
GE,"Jan. 24, 2018",BO,4.94%,5.54%,0.3
ITW,"Jan. 24, 2018",BO,3.02%,3.15%,1.62
NSC,"Jan. 24, 2018",BO,4.02%,4.11%,1.57
GWW,"Jan. 24, 2018",BO,5.99%,6.30%,2.2
DFS,"Jan. 24, 2018",AC,3.40%,3.61%,1.54
FFIV,"Jan. 24, 2018",AC,5.94%,6.28%,2.04
F,"Jan. 24, 2018",AC,4.15%,3.25%,0.45
LRCX,"Jan. 24, 2018",AC,4.96%,5.01%,3.68
LVS,"Jan. 24, 2018",AC,3.46%,3.89%,0.76
MMM,"Jan. 25, 2018",BO,3.23%,3.26%,2.02
AAL,"Jan. 25, 2018",BO,4.03%,3.89%,0.9
BIIB,"Jan. 25, 2018",BO,4.40%,4.53%,5.47
CAT,"Jan. 25, 2018",BO,4.25%,4.52%,1.79
CELG,"Jan. 25, 2018",BO,5.42%,5.10%,1.95
CLF,"Jan. 25, 2018",BO,9.11%,8.13%,0.17
FCX,"Jan. 25, 2018",BO,5.64%,6.71%,0.49
NOC,"Jan. 25, 2018",BO,2.95%,3.11%,2.73
LUV,"Jan. 25, 2018",BO,4.36%,4.64%,0.77
ETFC,"Jan. 25, 2018",AC,3.66%,3.91%,0.61
FLEX,"Jan. 25, 2018",AC,4.26%,4.33%,0.3
INTC,"Jan. 25, 2018",AC,4.16%,4.40%,0.86
ISRG,"Jan. 25, 2018",AC,4.64%,4.91%,2.27
ABBV,"Jan. 26, 2018",BO,3.84%,3.90%,1.44
CL,"Jan. 26, 2018",BO,3.08%,3.28%,0.75
HON,"Jan. 26, 2018",BO,2.32%,2.22%,1.84
