Ticker,Recent Closing Price,Put Strike,Date,Earnings Time,Current 7 Day Implied,Implied Move Weekly
JD, 39.79 , 37.90 ,"Nov. 13, 2017",BO,4.75%,
TSN, 73.09 , 71.06 ,"Nov. 13, 2017",BO,2.78%,5.63%
LNG, 50.19 , 48.62 ,"Nov. 14, 2017",BO,3.13%,4.58%
SSYS, 21.26 , 19.79 ,"Nov. 14, 2017",BO,6.91%,13.74%
HD, 163.66 , 160.32 ,"Nov. 14, 2017",BO,2.04%,3.50%
YY, 91.36 , 86.93 ,"Nov. 14, 2017",AC,4.85%,
TGT, 57.89 , 56.06 ,"Nov. 15, 2017",BO,3.16%,5.90%
CSCO, 34.40 , 33.55 ,"Nov. 15, 2017",AC,2.46%,4.69%
NTAP, 44.65 , 42.97 ,"Nov. 15, 2017",AC,3.77%,6.28%
NTES, 306.59 , 292.64 ,"Nov. 15, 2017",AC,4.55%,7.42%
BBY, 55.13 , 52.71 ,"Nov. 16, 2017",BO,4.39%,9.68%
VIAB, 24.78 , 23.38 ,"Nov. 16, 2017",BO,5.64%,9.78%
WMT, 88.95 , 87.08 ,"Nov. 16, 2017",BO,2.10%,3.86%
AMAT, 56.47 , 54.65 ,"Nov. 16, 2017",AC,3.23%,6.88%
GPS, 25.71 , 24.44 ,"Nov. 16, 2017",AC,4.95%,8.96%
SPLK, 68.00 , 65.14 ,"Nov. 16, 2017",AC,4.21%,
ANF, 11.69 , 10.71 ,"Nov. 17, 2017",BO,8.38%,
